Function,Learning Rate,Optimizer,Activation,Hidden Size,Final Loss,Accurcy
generate_XOR_easy,0.01,Momentum,none_activation,10,,0.5238095238095238
generate_XOR_easy,0.01,Momentum,none_activation,20,,0.5238095238095238
generate_XOR_easy,0.01,Momentum,none_activation,30,,0.5238095238095238
generate_XOR_easy,0.01,Adagrad,sigmoid,10,0.0005529236082843329,1.0
generate_XOR_easy,0.01,Adagrad,sigmoid,20,0.0003129072672670367,1.0
generate_XOR_easy,0.01,Adagrad,sigmoid,30,0.00010138387221740525,1.0
generate_XOR_easy,0.01,Adagrad,ReLU,10,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.01,Adagrad,ReLU,20,4.175698402028789e-07,1.0
generate_XOR_easy,0.01,Adagrad,ReLU,30,0.42857142857142855,0.5714285714285714
generate_XOR_easy,0.01,Adagrad,tanh,10,2.6615060295500223e-05,1.0
generate_XOR_easy,0.01,Adagrad,tanh,20,1.518315137408238e-05,1.0
generate_XOR_easy,0.01,Adagrad,tanh,30,8.3612069659354e-06,1.0
generate_XOR_easy,0.01,Adagrad,none_activation,10,0.24943310657596393,0.5238095238095238
generate_XOR_easy,0.01,Adagrad,none_activation,20,0.2494331065759645,0.5238095238095238
generate_XOR_easy,0.01,Adagrad,none_activation,30,0.24943310657596338,0.5238095238095238
generate_XOR_easy,0.01,Adam,sigmoid,10,4.45610519668762e-12,1.0
generate_XOR_easy,0.01,Adam,sigmoid,20,5.702133669913787e-12,1.0
generate_XOR_easy,0.01,Adam,sigmoid,30,4.484107244975231e-12,1.0
generate_XOR_easy,0.01,Adam,ReLU,10,0.23809523809523808,0.7619047619047619
generate_XOR_easy,0.01,Adam,ReLU,20,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.01,Adam,ReLU,30,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.01,Adam,tanh,10,4.001359620135465e-08,1.0
generate_XOR_easy,0.01,Adam,tanh,20,1.3555953408835313e-09,1.0
generate_XOR_easy,0.01,Adam,tanh,30,2.1571039894593252e-11,1.0
generate_XOR_easy,0.01,Adam,none_activation,10,0.24943310657596368,0.5238095238095238
generate_XOR_easy,0.01,Adam,none_activation,20,0.2494331065759637,0.5238095238095238
generate_XOR_easy,0.01,Adam,none_activation,30,0.2494331065759637,0.5238095238095238
